id,ingredient_name,ingredient_link,ingredient_image
43,4 parts  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
43,4 parts  Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
44,1 cl  Kahlua,/ingredient/282-Kahlua,../images/ingredients/Kahlua-Medium.png
44,1 cl  Baileys irish cream,/ingredient/43-Baileys-irish-cream,../images/ingredients/Baileys irish cream-Medium.png
44,1 1/2  Frangelico,/ingredient/212-Frangelico,../images/ingredients/Frangelico-Medium.png
44,4 cl hot  Coffee,/ingredient/139-Coffee,../images/ingredients/Coffee-Medium.png
44,Cream,/ingredient/161-Cream,../images/ingredients/Cream-Medium.png
45,1 oz  Southern Comfort,/ingredient/458-Southern-Comfort,../images/ingredients/Southern Comfort-Medium.png
45,1 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
45,1/2 oz  Sloe gin,/ingredient/453-Sloe-gin,../images/ingredients/Sloe gin-Medium.png
45,1 dash  Lemon juice,/ingredient/293-Lemon-juice,../images/ingredients/Lemon juice-Medium.png
46,2 dashes  Orange bitters,/ingredient/350-Orange-bitters,../images/ingredients/Orange bitters-Medium.png
46,1 1/2 oz  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
46,3/4 oz  Yellow Chartreuse,/ingredient/532-Yellow-Chartreuse,../images/ingredients/Yellow Chartreuse-Medium.png
46,Twist of  Lemon peel,/ingredient/294-Lemon-peel,../images/ingredients/Lemon peel-Medium.png
47,1/2 oz  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
47,1/2 oz white  Creme de Cacao,/ingredient/164-Creme-de-Cacao,../images/ingredients/Creme de Cacao-Medium.png
47,2 oz  Light cream,/ingredient/304-Light-cream,../images/ingredients/Light cream-Medium.png
47,Nutmeg,/ingredient/344-Nutmeg,../images/ingredients/Nutmeg-Medium.png
48,1 1/2 oz  Lemon vodka,/ingredient/296-Lemon-vodka,../images/ingredients/Lemon vodka-Medium.png
48,1 dash  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
48,1 tblsp  Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
49,1 1/2 oz  Blended whiskey,/ingredient/66-Blended-whiskey,../images/ingredients/Blended whiskey-Medium.png
49,1 oz  Dry Vermouth,/ingredient/189-Dry-Vermouth,../images/ingredients/Dry Vermouth-Medium.png
49,1 oz  Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
50,1 cl  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
50,1 cl  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
50,2 cl  Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
50,4 cl  Cream,/ingredient/161-Cream,../images/ingredients/Cream-Medium.png
51,1 shot  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
51,1 shot  Grand Marnier,/ingredient/238-Grand-Marnier,../images/ingredients/Grand Marnier-Medium.png
51,1 shot  Southern Comfort,/ingredient/458-Southern-Comfort,../images/ingredients/Southern Comfort-Medium.png
52,1 oz  Dry Vermouth,/ingredient/189-Dry-Vermouth,../images/ingredients/Dry Vermouth-Medium.png
52,1 oz  Bourbon,/ingredient/71-Bourbon,../images/ingredients/Bourbon-Medium.png
52,1 1/2 tsp  Blackberry brandy,/ingredient/61-Blackberry-brandy,../images/ingredients/Blackberry brandy-Medium.png
52,1 1/2 tsp  Lemon juice,/ingredient/293-Lemon-juice,../images/ingredients/Lemon juice-Medium.png
52,1 twist of  Lemon peel,/ingredient/294-Lemon-peel,../images/ingredients/Lemon peel-Medium.png
53,1 oz  Dry Vermouth,/ingredient/189-Dry-Vermouth,../images/ingredients/Dry Vermouth-Medium.png
53,1 oz  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
53,1/2 tsp  Kummel,/ingredient/288-Kummel,../images/ingredients/Kummel-Medium.png
54,2 oz  Dark rum,/ingredient/179-Dark-rum,../images/ingredients/Dark rum-Medium.png
54,1 oz  Kahlua,/ingredient/282-Kahlua,../images/ingredients/Kahlua-Medium.png
54,1  Egg white,/ingredient/192-Egg-white,../images/ingredients/Egg white-Medium.png
55,3/4 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
55,1/2 oz  Dark Creme de Cacao,/ingredient/178-Dark-Creme-de-Cacao,../images/ingredients/Dark Creme de Cacao-Medium.png
55,8 oz  Coffee,/ingredient/139-Coffee,../images/ingredients/Coffee-Medium.png
56,1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
56,1/2 oz white  Creme de Cacao,/ingredient/164-Creme-de-Cacao,../images/ingredients/Creme de Cacao-Medium.png
56,2 oz  Light cream,/ingredient/304-Light-cream,../images/ingredients/Light cream-Medium.png
57,3/4 cup  Water,/ingredient/513-Water,../images/ingredients/Water-Medium.png
57,2 tsp  Ginger,/ingredient/230-Ginger,../images/ingredients/Ginger-Medium.png
57,2 cups  Guava juice,/ingredient/253-Guava-juice,../images/ingredients/Guava juice-Medium.png
57,1 1/2 tblsp  Lemon juice,/ingredient/293-Lemon-juice,../images/ingredients/Lemon juice-Medium.png
57,1 1/2 cup  Pineapple,/ingredient/397-Pineapple,../images/ingredients/Pineapple-Medium.png
57,1 cup  Sugar,/ingredient/476-Sugar,../images/ingredients/Sugar-Medium.png
57,3-4 cups  Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
58,1 1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
58,1 1/2 oz  Light cream,/ingredient/304-Light-cream,../images/ingredients/Light cream-Medium.png
59,4 cl Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
59,6 cl Orange Juice,/ingredient/352-Orange-Juice,../images/ingredients/Orange Juice-Medium.png
59,15 cl White Wine,/ingredient/525-White-Wine,../images/ingredients/White Wine-Medium.png
59,Garnish with Orange Peel,/ingredient/354-Orange-Peel,../images/ingredients/Orange Peel-Medium.png
60,1 cup Sugar,/ingredient/476-Sugar,../images/ingredients/Sugar-Medium.png
60,3/4 cup  Water,/ingredient/513-Water,../images/ingredients/Water-Medium.png
60,2  Apricot,/ingredient/34-Apricot,../images/ingredients/Apricot-Medium.png
60,1 tblsp  Almond flavoring,/ingredient/16-Almond-flavoring,../images/ingredients/Almond flavoring-Medium.png
60,1/2 cup pure  Grain alcohol,/ingredient/237-Grain-alcohol,../images/ingredients/Grain alcohol-Medium.png
60,1/2 cup  Water,/ingredient/513-Water,../images/ingredients/Water-Medium.png
60,1 cup  Brandy,/ingredient/74-Brandy,../images/ingredients/Brandy-Medium.png
60,3 drops yellow  Food coloring,/ingredient/210-Food-coloring,../images/ingredients/Food coloring-Medium.png
60,6 drops red  Food coloring,/ingredient/210-Food-coloring,../images/ingredients/Food coloring-Medium.png
60,2 drops blue  Food coloring,/ingredient/210-Food-coloring,../images/ingredients/Food coloring-Medium.png
60,1/2 tsp  Glycerine,/ingredient/231-Glycerine,../images/ingredients/Glycerine-Medium.png
61,1 1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
61,1  Lime,/ingredient/312-Lime,../images/ingredients/Lime-Medium.png
62,1 1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
